,Term,fdr,es,nes,pval,matched_genes,gene %,lead_genes,tag %
0,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0005353980478563485,0.4032880588353799,1.8947307580753219,0.0,MTRF1;UQCRC2;CYC1;COX6A1;CS;FH;NQO2;COX5A;HSPA9;TIMM17A;NDUFS4;UQCRB;MRPL15;NDUFB5;LRPPRC;COX8A;NDUFA7;TIMM13;MRPS30;SDHD;NDUFB2;GOT2;LDHB;UQCRQ;NDUFA5;MRPS15;VDAC2;NDUFB8;DLD;PDK4;NDUFA9;NDUFB7;GLUD1;SDHB;NDUFS7;ECH1;DLAT;COX6C;COX7C;ACO2;TOMM22;IDH3A;SUPV3L1;MRPS22;NDUFS6;NDUFA6;COX4I1;OXA1L;DLST;ATP6V1F;COX5B;ATP6V1G1;ATP6V0E1;NDUFS8;ACADSB;SUCLG1;IDH2;DECR1;ATP6V1D;UQCRH;COX17;NDUFAB1;ACAA2;SLC25A4;CYB5R3;UQCRC1;NDUFC2;MDH2;NDUFA4;TIMM10;MRPL34;GRPEL1;FDX1;COX6B1;GPI;RETSAT;NDUFV2;VDAC1;AFG3L2;ACAT1;SLC25A12;NDUFC1;POR;MGST3;NDUFA3;SURF1;POLR2F;ECHS1;ETFB;COX10;ATP6V0C;MDH1;NDUFB1;ISCA1;PDHB;RHOT2;SUCLA2;ALDH6A1;UQCRFS1;PMPCA;SLC25A20;TIMM50;OAT,27.66%,MTRF1;UQCRC2;CYC1;COX6A1;CS;FH;NQO2;COX5A;HSPA9;TIMM17A;NDUFS4;UQCRB;MRPL15;NDUFB5;LRPPRC;COX8A;NDUFA7;TIMM13;MRPS30;SDHD;NDUFB2;GOT2;LDHB;UQCRQ;NDUFA5;MRPS15;VDAC2;NDUFB8;DLD;PDK4;NDUFA9;NDUFB7;GLUD1;SDHB;NDUFS7;ECH1;DLAT;COX6C;COX7C;ACO2;TOMM22;IDH3A;SUPV3L1;MRPS22,44/103
1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.001070796095712697,0.4665708255856448,1.9169895148207934,0.0019646365422396855,CNOT4;SSR1;PDIA6;EXOSC1;DNAJC3;TUBB2A;HSPA9;BAG3;TATDN2;DCP2;DNAJB9;EIF2AK3;HSPA5;WIPI1;YIF1A;HSP90B1;DDX10;IFIT1;ATP6V0D1;SRPRB;RRP9;NFYB;SEC11A;EXOSC4;EDEM1;EIF4EBP1;ERN1;EEF2;PREB;SLC7A5;EXOSC2;LSM4;SPCS3;CNOT6;DCP1A;CNOT2;DDIT4;KIF5B;ATF6;EIF4A2;CEBPG;CALR;EIF2S1;STC2;ZBTB17;CCL2;NOLC1;EDC4;KHSRP;FKBP14;SDAD1;EIF4A3;NOP14,24.36%,CNOT4;SSR1;PDIA6;EXOSC1;DNAJC3;TUBB2A;HSPA9;BAG3;TATDN2;DCP2;DNAJB9;EIF2AK3;HSPA5;WIPI1;YIF1A;HSP90B1;DDX10;IFIT1;ATP6V0D1;SRPRB;RRP9;NFYB,22/53
2,HALLMARK_HYPOXIA,0.0032123882871380916,0.38848373353428095,1.8499142813196792,0.0,BCAN;SDC2;STC1;PNRC1;AKAP12;CXCR4;NAGK;CHST2;PRKCA;CAV1;IER3;CCNG2;TIPARP;MT1E;MAP3K1;HEXA;DUSP1;DPYSL4;MT2A;PPARGC1A;ALDOB;CDKN1B;NDST2;HSPA5;SLC2A1;KLF7;HMOX1;HS3ST1;PDK1;GBE1;MYH9;TNFAIP3;ISG20;MIF;PFKFB3;GRHPR;PGM2;EFNA3;ETS1;GCNT2;BTG1;EXT1;NDST1;SLC2A5;KLHL24;GAPDHS;PGM1;ENO1;ZNF292;GAPDH;FOS;HAS1;EGFR;IL6;ENO2;NCAN;PFKP;PPP1R15A;SDC3;MXI1;PCK1;KIF5A;ERRFI1;TGFB3;FAM162A;SAP30;DDIT4;CHST3;COL5A1;TMEM45A;STBD1;ILVBL;CP;GALK1;GPI;BNIP3L;STC2;PGF;BCL2;HK2;AMPD3;PDGFB;ADM;BHLHE40;EDN2;SLC25A1;GCK;HOXB9;TES;PGAM2;FOSL2;RORA;SDC4;PPFIA4;PIM1;SULT2B1;ALDOC;CSRP2;ADORA2B;ZFP36;F3;PLIN2;RRAGD;PPP1R3C;SIAH2;IRS2;SELENBP1;GPC1;LALBA;TGFBI;LOX,17.47%,BCAN;SDC2;STC1;PNRC1;AKAP12;CXCR4;NAGK;CHST2;PRKCA;CAV1;IER3;CCNG2;TIPARP;MT1E;MAP3K1;HEXA;DUSP1;DPYSL4;MT2A;PPARGC1A;ALDOB;CDKN1B;NDST2;HSPA5;SLC2A1;KLF7;HMOX1;HS3ST1;PDK1;GBE1;MYH9;TNFAIP3,32/111
3,HALLMARK_MTORC1_SIGNALING,0.0048185824307071376,0.37773720440237885,1.7703694637216099,0.0,BCAT1;STC1;ARPC5L;SSR1;CXCR4;ETF1;USO1;GGA2;PPIA;POLR3G;IFI30;HSPA9;MTHFD2L;TXNRD1;DAPP1;NUP205;RPN1;HSPA5;SLC2A1;RIT1;RPA1;STIP1;PDK1;GBE1;GSR;FADS1;HSP90B1;PSMC2;SORD;NMT1;SRD5A1;CTSC;ME1;RRP9;ADIPOR2;SEC11A;SLC7A11;GCLC;PITPNB;BTG2;PNP;UCHL5;EDEM1;PGM1;GMPS;SLC9A3R1;RDH11;ENO1;ELOVL5;GAPDH;ATP6V1D;QDPR;SQLE;SLC7A5;SDF2L1;LTA4H;NUFIP1;HMBS;CD9;PSMD14;PPP1R15A;STARD4;COPS5;ACTR3;PHGDH;IGFBP5;DDIT4;EGLN3;BUB1;CORO1A;PDAP1;DHCR24;IDI1;SERPINH1;PNO1;YKT6;HSPA4;GPI;CALR;MCM2;CCNF;HK2;SCD;BHLHE40;FADS2;MLLT11;TM7SF2;TMEM97;TES;TUBG1;ABCF2;UFM1;LDLR;PPA1;PLK1;SKAP2;MAP2K3;PSMC6;NAMPT;GOT1;HSPE1;TUBA4A;CYB5B;EIF2S2,20.63%,BCAT1;STC1;ARPC5L;SSR1;CXCR4;ETF1;USO1;GGA2;PPIA;POLR3G;IFI30;HSPA9;MTHFD2L;TXNRD1;DAPP1;NUP205;RPN1;HSPA5;SLC2A1;RIT1;RPA1;STIP1;PDK1;GBE1;GSR;FADS1;HSP90B1;PSMC2;SORD;NMT1;SRD5A1;CTSC;ME1,33/104
4,HALLMARK_PANCREAS_BETA_CELLS,0.04252590208687569,0.46842131778429236,1.556209936061752,0.026694045174537988,NEUROD1;PCSK2;ISL1;ABCC8;NEUROG3;HNF1A;NKX2-2;SRP14;SRPRB;SST;SEC11A;SYT13;CHGA;NKX6-1;SCGN;PAX4;ELP4;FOXO1;PDX1;PCSK1;GCK;DPP4;SLC2A2,31.43%,NEUROD1;PCSK2;ISL1;ABCC8;NEUROG3;HNF1A;NKX2-2;SRP14;SRPRB;SST;SEC11A;SYT13;CHGA,13/23
5,HALLMARK_APOPTOSIS,0.044794970003981166,0.36137183631616115,1.5722892401862245,0.004201680672268907,ANKH;HSPB1;CD38;CAV1;IER3;ETF1;DNAJC3;MMP2;GADD45B;PEA15;IFNGR1;EGR3;CCND1;PDGFRB;CDKN1B;IGF2R;GADD45A;GNA15;DAP;HMOX1;GSR;DPYD;VDAC2;RNASEL;ISG20;TGFBR3;AVPR1A;SOD1;IL1B;ANXA1;BTG2;TOP2A;EMP1;MGMT;TNFSF10;PLCB2;SMAD7;IL6;ENO2;PPP2R5B;TXNIP;F2R;F2;TNF;CD2;TAP1;BNIP3L;BCL2L2;RETSAT;BMP2;TNFRSF12A;IL1A;NEDD9;PPP3R1;EREG;CCND2;BCL2L10;RHOT2;IRF1;ERBB3;SLC20A1;BIK;LUM;GPX3;BCL10;ROCK1;TIMP2;GUCY2D;FEZ1;IGFBP6,19.26%,ANKH;HSPB1;CD38;CAV1;IER3;ETF1;DNAJC3;MMP2;GADD45B;PEA15;IFNGR1;EGR3;CCND1;PDGFRB;CDKN1B;IGF2R;GADD45A;GNA15;DAP;HMOX1;GSR;DPYD;VDAC2;RNASEL;ISG20,25/70
6,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.04861414274535644,0.3897407863450387,1.5824189300602747,0.013592233009708738,PRKAA2;PTEN;PRKAR2A;CXCR4;DUSP3;PPP2R1B;PIN1;ITPR2;CDKN1B;STAT2;DAPP1;PLA2G12A;ATF1;SLC2A1;RAF1;NOD1;RIT1;ARPC3;PDK1;HSP90B1;TNFRSF1A;TRAF2;PIKFYVE;RIPK1;PTPN11;ARHGDIA;FGF22;FGF17;RALB;CFL1;CSNK2B;EGFR;UBE2N;E2F1;ACTR3;GNA14;THEM4;CALR;PFN1;MYD88;NCK1;NGF;MAP2K6;FGF6;MAP2K3;CLTC;ADCY2;RPS6KA1;CDK4;VAV3;TIAM1;CAMK4,19.16%,PRKAA2;PTEN;PRKAR2A;CXCR4;DUSP3;PPP2R1B;PIN1;ITPR2;CDKN1B;STAT2;DAPP1;PLA2G12A;ATF1;SLC2A1;RAF1;NOD1;RIT1;ARPC3;PDK1;HSP90B1;TNFRSF1A,21/52
7,HALLMARK_ADIPOGENESIS,0.0592953338000906,0.3219379760043097,1.5029509672114594,0.008528784648187633,LPL;PTCD3;CYC1;ESYT1;COX6A1;COQ3;CS;JAGN1;CCNG2;TANK;CHUK;IFNGR1;MRPL15;DNAJC15;DNAJB9;COX8A;NKIRAS1;VEGFB;GADD45A;UQCRQ;GBE1;NDUFA5;ATP1B3;ITGA7;SAMM50;UCP2;NMT1;DLD;DHRS7;ME1;DRAM2;NDUFB7;PFKFB3;ADIPOQ;SDHB;PEMT;FZD4;ECH1;DLAT;DBT;STAT5A;ADIPOR2;ACO2;SOD1;IDH3A;HADH;PPP1R15B;DHRS7B;COL4A1;ABCA1;COQ9;GPAM;SUCLG1;COQ5;PGM1;DECR1;QDPR;PREB;SCP2;MTCH2;NDUFAB1;LIPE;ACAA2;GHITM;UQCRC1;MDH2;GRPEL1;LTC4S;CHCHD10;RIOK3;RETSAT;SLC19A1;ESRRA;CAT;REEP5;EPHX2;FAH;C3;ACADL;POR;PEX14;BCL2L13;MGST3;SLC25A1;ECHS1;CD302;ALDH2;ABCB8;ETFB;MAP4K3;RNF11;MCCC1;REEP6;APOE;SNCG;SLC27A1;SULT1A1;PLIN2;BAZ2A;YWHAG;SLC25A10;COL15A1;GPX3;ACADS;LPCAT3;TST;ADIG;ANGPT1;TALDO1;CPT2;HSPB8,27.03%,LPL;PTCD3;CYC1;ESYT1;COX6A1;COQ3;CS;JAGN1;CCNG2;TANK;CHUK;IFNGR1;MRPL15;DNAJC15;DNAJB9;COX8A;NKIRAS1;VEGFB;GADD45A;UQCRQ;GBE1;NDUFA5;ATP1B3;ITGA7;SAMM50;UCP2;NMT1;DLD;DHRS7;ME1;DRAM2;NDUFB7;PFKFB3;ADIPOQ;SDHB;PEMT;FZD4;ECH1;DLAT;DBT;STAT5A;ADIPOR2;ACO2;SOD1;IDH3A,45/111
8,HALLMARK_MYC_TARGETS_V1,0.1018446064366743,0.30718196414577775,1.4267271587427368,0.02631578947368421,CCT4;PSMB2;CYC1;FBL;ETF1;SNRPD1;PPIA;RAD23B;COX5A;UBA2;YWHAQ;TYMS;SNRPG;PSMD3;XPO1;PTGES3;SMARCC1;PSMD8;SNRPA1;EIF3D;CCT2;GOT2;RAN;KPNB1;PSMD1;SF3B3;RSL1D1;TRA2B;PSMB3;PSMA2;RPL22;CUL1;AIMP2;MRPS18B;RRP9;RRM1;PSMA1;NOP16;PSMA6;EXOSC7;PWP1;RANBP1;LSM7;TUFM;HDAC2;NDUFAB1;CCT5;PSMD14;STARD7;CLNS1A;COPS5;DDX18;MCM6;AP3S1;IMPDH2;MYC;SNRPD3;RPS3;PABPC1;ILF2;MCM2;EIF2S1;HSP90AB1;VDAC1;C1QBP;RPS10;SRM;NOLC1;PRPF31;PSMA7;FAM120A;MAD2L1;CAD;CDC20;RUVBL2;MRPL23;SET;PA2G4;XRCC6;DDX21;EIF3J;CCNA2;RPS6;ODC1;SSBP1;PSMD7;PSMC6;RPL18;MCM5;HDDC2;CDK4;HSPE1;HNRNPA3;GLO1;ERH;SNRPA;SRPK1;DHX15;EIF2S2;LSM2,21.64%,CCT4;PSMB2;CYC1;FBL;ETF1;SNRPD1;PPIA;RAD23B;COX5A;UBA2;YWHAQ;TYMS;SNRPG;PSMD3;XPO1;PTGES3;SMARCC1;PSMD8;SNRPA1;EIF3D;CCT2;GOT2;RAN;KPNB1;PSMD1;SF3B3;RSL1D1;TRA2B;PSMB3;PSMA2;RPL22;CUL1;AIMP2;MRPS18B,34/100
9,HALLMARK_PROTEIN_SECRETION,0.11007783863926526,0.3508917285502243,1.4026040639362487,0.04259634888438134,MON2;USO1;SCAMP1;VPS4B;TMED10;IGF2R;BET1;SNX2;VPS45;TOM1L1;STX12;CTSC;LMAN1;ARFGEF1;GOLGA4;SOD1;STAM;SEC24D;AP3B1;GBF1;TSG101;ABCA1;RAB2A;CLN5;ARFGEF2;TMX1;EGFR;VAMP3;SEC22B;AP3S1;DST;RAB14;KIF1B;TMED2;YKT6;TSPAN8;SH3GL2;ATP6V1B1;NAPG;NAPA;STX7;CLTC;ADAM10;VAMP4;RAB22A;BNIP3,36.56%,MON2;USO1;SCAMP1;VPS4B;TMED10;IGF2R;BET1;SNX2;VPS45;TOM1L1;STX12;CTSC;LMAN1;ARFGEF1;GOLGA4;SOD1;STAM;SEC24D;AP3B1;GBF1;TSG101;ABCA1;RAB2A;CLN5,24/46
10,HALLMARK_TGF_BETA_SIGNALING,0.11613270383502253,0.3991142802653332,1.38112266648494,0.08477842003853564,RAB31;SMAD3;ID3;LTBP2;KLF10;BCAR3;BMPR2;THBS1;HDAC1;BMPR1A;CDK9;SMURF2;SMAD7;ID2;PPP1R15A;FURIN;CDH1;LEFTY2;BMP2;RHOA;SPTBN1;IFNGR2;SLC20A1;TGFB1,31.26%,RAB31;SMAD3;ID3;LTBP2;KLF10;BCAR3;BMPR2;THBS1;HDAC1;BMPR1A;CDK9,11/24
11,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.12597690423422375,-0.35480457457145015,-1.6599370519643442,0.0,TFPI2;SNTB1;EDIL3;LAMA1;TNFRSF11B;MMP2;OXTR;GADD45B;GPX7;PPIB;PDGFRB;FUCA1;GADD45A;TNFAIP3;HTRA1;SGCG;COL5A3;TGFBR3;THBS1;FBLN5;GLIPR1;FGF2;DAB2;COL4A1;BASP1;CAPG;MMP14;CTHRC1;SNAI2;COMP;LOXL2;NID2;SLIT3;ITGB5;IL6;ENO2;ANPEP;TNC;ID2;PCOLCE2;VIM;ITGB3;DKK1;COL5A2;FSTL1;IGFBP2;TPM4;DST;COL16A1;COL5A1;SPARC;CDH6;NOTCH2;WNT5A;SERPINH1;NTM;THBS2;EMP3;INHBA;MGP;PLOD3;MSX1;COL4A2;SPOCK1;TNFRSF12A;ABI3BP;THY1;GREM1;FMOD;FBN1;EFEMP2;LRP1;COL8A2;SLIT2;SDC4;CXCL6;FSTL3;PLOD1;SFRP1;COL7A1;NT5E;LUM;LGALS1;MATN3;FAP;PCOLCE;COL6A2;BMP1;MFAP5;CDH2;COL1A1;SFRP4;SCG2;CDH11;GPC1;CAP2;COL1A2;AREG;TGFBI;FBN2;LOX;TGFB1;CRLF1;LAMC1;IGFBP4;DPYSL3;VEGFC;COL3A1;LOXL1;ITGA5;CXCL1;ITGA2;SGCB,18.92%,SGCB;ITGA2;CXCL1;ITGA5;LOXL1;COL3A1;VEGFC;DPYSL3;IGFBP4;LAMC1;CRLF1;TGFB1;LOX;FBN2;TGFBI;AREG;COL1A2;CAP2;GPC1;CDH11;SCG2;SFRP4;COL1A1;CDH2;MFAP5;BMP1;COL6A2;PCOLCE;FAP;MATN3;LGALS1;LUM;NT5E;COL7A1;SFRP1;PLOD1,36/113
12,HALLMARK_ANDROGEN_RESPONSE,0.14205894869788446,0.3249976186419693,1.3414261190884353,0.07773109243697479,ANKH;AKAP12;SLC26A2;UBE2J1;CCND1;DNAJB9;PIAS1;GPD1L;HERC3;MAK;SLC38A2;GSR;GNAI3;FADS1;SORD;LMAN1;ARID5B;MERTK;ADAMTS1;ZMIZ1;SEC24D;RAB4A;PGM3;ABCC4;XRCC5;PTPN21;B2M;ELOVL5;TMEM50A;IQGAP2;ALDH1A3;SPCS3;KRT8;SRP19;DHCR24;BMPR1B;IDI1;HSD17B14;B4GALT1;APPBP2;ELL2;NKX3-1;SCD;SGK1;TNFAIP8;SRF;PA2G4;XRCC6;SPDEF;STK39;TSC22D1;KRT19;MAP7;STEAP4,30.32%,ANKH;AKAP12;SLC26A2;UBE2J1;CCND1;DNAJB9;PIAS1;GPD1L;HERC3;MAK;SLC38A2;GSR;GNAI3;FADS1;SORD;LMAN1;ARID5B;MERTK;ADAMTS1;ZMIZ1;SEC24D;RAB4A,22/54
13,HALLMARK_KRAS_SIGNALING_DN,0.17403476029394613,-0.3361548064653957,-1.536044944594323,0.0018484288354898336,NGB;CHST2;EDAR;SLC30A3;GPR19;ATP4A;SIDT1;HNF1A;TFCP2L1;RYR2;TLX1;BARD1;KRT5;TGM1;MFSD6;KCNE2;CELSR2;MTHFR;KLHDC8A;BTG2;YPEL1;TFF2;SOX10;PROP1;KRT15;CCR8;RIBC2;CALCB;SLC6A3;CPB1;NR4A2;INSL5;FGF22;NTF3;TFAP2B;CLSTN3;ACTC1;PRODH;YBX2;PTPRJ;CDKAL1;IGFBP2;GP1BA;SPTBN2;KRT4;LFNG;PAX4;MAST3;MYH7;SLC29A3;CPEB3;BMPR1B;LYPD3;SLC25A23;C5;SYNPO;NPHS1;ATP6V1B1;SLC5A5;EDN2;ALOX12B;TCF7L1;SGK1;HSD11B2;CPA2;ABCB11;NRIP2;SNN;PNMT;PDK2;GPRC5C;THNSL2;AMBN;DCC;CDH16;TNNI3;MYO15A;TG;SLC38A3;OXT;NOS1;EGF;SLC16A7;CACNG1;VPREB1;TEX15;MEFV;ENTPD7;EFHD1;CYP11B2;IFNG;CKM;ITIH3;SPHK2;KRT1;KCNN1;CYP39A1;COPZ2;SCN10A;IL12B;TSHB;CCDC106;GRID2;CD80;RSAD2;CLPS,19.56%,CLPS;RSAD2;CD80;GRID2;CCDC106;TSHB;IL12B;SCN10A;COPZ2;CYP39A1;KCNN1;KRT1;SPHK2;ITIH3;CKM;IFNG;CYP11B2;EFHD1;ENTPD7;MEFV;TEX15;VPREB1;CACNG1;SLC16A7;EGF;NOS1;OXT;SLC38A3;TG;MYO15A;TNNI3;CDH16;DCC,33/106
14,HALLMARK_APICAL_SURFACE,0.19293129592907965,-0.42405614537323316,-1.4364256966620421,0.06981519507186858,HSPB1;FLOT2;CD160;PCSK9;ADIPOR2;RHCG;DCBLD2;ATP8B1;SLC2A4;SLC34A3;LYPD3;AKAP7;B4GALT1;EPHB4;NCOA6;THY1;EFNA5;ADAM10;CX3CL1;SCUBE1;IL2RB;CROCC;RTN4RL1;MDGA1,9.87%,MDGA1;RTN4RL1;CROCC;IL2RB;SCUBE1;CX3CL1,6/24
15,HALLMARK_COMPLEMENT,0.21070803685990902,-0.3040731137353676,-1.3969914168319817,0.03732809430255403,TFPI2;GNB2;APOA4;APOC1;RABIF;LTF;AKAP10;RNF4;CTSO;EHD1;HSPA5;RAF1;BRPF3;TNFAIP3;GNAI3;ACTN2;PCSK9;CTSC;ME1;MMP13;USP15;PIK3CG;S100A9;PLEK;OLR1;GNAI2;PPP4C;MMP14;IRF2;SPOCK2;FCN1;CBLB;PLA2G4A;IL6;GZMA;CDK5R1;CFB;LTA4H;CA2;ZFPM2;GP1BA;FCER1G;F5;FDX1;F2;CP;PLSCR1;CDA;C1R;KLKB1;CTSS;GMFB;C3;PFN1;SH2B3;CDH13;ANXA5;PDGFB;COL4A2;STX4;ATOX1;MT3;LAP3;LRP1;L3MBTL4;GCA;TMPRSS6;CCL5;PIM1;PRSS3;DPP4;GNGT2;F3;PRDM4;IRF1;DUSP5;GNB4;HPCAL4;NOTCH4;GZMB;MMP8;RHOG;SERPINC1;C1QA;PRSS36;DOCK4;F10;PCLO;CALM3;KCNIP3;MMP15;KLK1;GNG2;DOCK10;GP9;PREP;SIRT6;TIMP2;JAK2;LCP2;CFH;S100A12;GZMK;CXCL1;KYNU,21.20%,KYNU;CXCL1;GZMK;S100A12;CFH;LCP2;JAK2;TIMP2;SIRT6;PREP;GP9;DOCK10;GNG2;KLK1;MMP15;KCNIP3;CALM3;PCLO;F10;DOCK4;PRSS36;C1QA;SERPINC1;RHOG;MMP8;GZMB;NOTCH4;HPCAL4;GNB4;DUSP5;IRF1;PRDM4;F3;GNGT2;DPP4;PRSS3,36/105
